Driver,DriverNumber,LapNumber,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,TrackStatus,Position,Deleted
RIC,3,5.0,98.704,30.98,43.2,24.524,1.0,SOFT,8.0,False,,,1,15.0,False
RIC,3,6.0,98.689,31.046,43.099,24.544,1.0,SOFT,9.0,False,,,1,15.0,False
RIC,3,7.0,99.193,31.372,43.289,24.532,1.0,SOFT,10.0,False,,,1,15.0,False
RIC,3,8.0,99.529,31.254,43.578,24.697,1.0,SOFT,11.0,False,,,1,15.0,False
RIC,3,9.0,99.338,31.173,43.519,24.646,1.0,SOFT,12.0,False,,,1,14.0,False
RIC,3,10.0,98.782,31.211,43.104,24.467,1.0,SOFT,13.0,False,,,12,13.0,False
RIC,3,11.0,99.033,31.472,43.08,24.481,1.0,SOFT,14.0,False,,,1,13.0,False
RIC,3,12.0,98.893,31.451,42.949,24.493,1.0,SOFT,15.0,False,,,1,10.0,False
RIC,3,13.0,102.173,31.46,42.967,27.746,1.0,SOFT,16.0,False,4895.789,,1,10.0,False
RIC,3,14.0,119.408,52.992,42.487,23.929,2.0,HARD,1.0,True,,4920.38,1,16.0,False
RIC,3,15.0,97.07,31.083,42.053,23.934,2.0,HARD,2.0,True,,,1,16.0,False
RIC,3,16.0,97.176,30.966,42.237,23.973,2.0,HARD,3.0,True,,,1,16.0,False
RIC,3,17.0,97.29,30.789,42.42,24.081,2.0,HARD,4.0,True,,,1,16.0,False
RIC,3,18.0,97.7,30.949,42.517,24.234,2.0,HARD,5.0,True,,,1,16.0,False
RIC,3,19.0,98.35,31.051,42.983,24.316,2.0,HARD,6.0,True,,,1,16.0,False
RIC,3,20.0,97.865,31.036,42.538,24.291,2.0,HARD,7.0,True,,,1,16.0,False
RIC,3,21.0,97.392,30.941,42.318,24.133,2.0,HARD,8.0,True,,,1,15.0,False
RIC,3,22.0,97.75,31.102,42.461,24.187,2.0,HARD,9.0,True,,,1,15.0,False
RIC,3,23.0,97.772,31.019,42.572,24.181,2.0,HARD,10.0,True,,,1,15.0,False
RIC,3,24.0,97.766,30.983,42.559,24.224,2.0,HARD,11.0,True,,,1,15.0,False
RIC,3,25.0,97.973,31.017,42.663,24.293,2.0,HARD,12.0,True,,,1,15.0,False
RIC,3,26.0,98.029,30.982,42.682,24.365,2.0,HARD,13.0,True,,,1,15.0,False
RIC,3,27.0,98.152,31.268,42.576,24.308,2.0,HARD,14.0,True,,,1,15.0,False
RIC,3,28.0,98.045,31.076,42.66,24.309,2.0,HARD,15.0,True,,,1,14.0,False
RIC,3,29.0,97.96,31.066,42.637,24.257,2.0,HARD,16.0,True,,,1,13.0,False
RIC,3,30.0,97.978,31.075,42.576,24.327,2.0,HARD,17.0,True,,,1,13.0,False
RIC,3,31.0,98.154,31.167,42.688,24.299,2.0,HARD,18.0,True,,,1,13.0,False
RIC,3,32.0,98.025,31.075,42.662,24.288,2.0,HARD,19.0,True,,,1,12.0,False
RIC,3,33.0,98.15,31.113,42.69,24.347,2.0,HARD,20.0,True,,,1,12.0,False
RIC,3,34.0,98.246,31.246,42.766,24.234,2.0,HARD,21.0,True,,,1,12.0,False
RIC,3,35.0,100.595,31.087,42.747,26.761,2.0,HARD,22.0,True,7072.253,,1,11.0,False
RIC,3,36.0,116.995,51.904,41.57,23.521,3.0,SOFT,1.0,True,,7097.022,1,16.0,False
RIC,3,37.0,95.163,30.422,41.226,23.515,3.0,SOFT,2.0,True,,,1,15.0,False
RIC,3,38.0,95.46,30.496,41.41,23.554,3.0,SOFT,3.0,True,,,1,15.0,False
RIC,3,39.0,95.475,30.559,41.392,23.524,3.0,SOFT,4.0,True,,,1,15.0,False
RIC,3,40.0,95.578,30.49,41.513,23.575,3.0,SOFT,5.0,True,,,1,15.0,False
RIC,3,41.0,95.644,30.564,41.478,23.602,3.0,SOFT,6.0,True,,,1,14.0,False
RIC,3,42.0,95.338,30.484,41.238,23.616,3.0,SOFT,7.0,True,,,1,14.0,False
RIC,3,43.0,95.56,30.537,41.389,23.634,3.0,SOFT,8.0,True,,,1,14.0,False
RIC,3,44.0,95.49,30.541,41.29,23.659,3.0,SOFT,9.0,True,,,1,14.0,False
RIC,3,45.0,95.57,30.497,41.402,23.671,3.0,SOFT,10.0,True,,,1,14.0,False
RIC,3,46.0,95.507,30.443,41.378,23.686,3.0,SOFT,11.0,True,,,1,14.0,False
RIC,3,47.0,95.831,30.566,41.534,23.731,3.0,SOFT,12.0,True,,,1,14.0,False
RIC,3,48.0,96.236,30.638,41.744,23.854,3.0,SOFT,13.0,True,,,1,14.0,False
RIC,3,49.0,96.442,30.63,41.795,24.017,3.0,SOFT,14.0,True,,,1,14.0,False
